[2021.11.21 14:06:12] [0000m.02s.752ms] [2] Diagnostic: CesConfigCheck: CesConstraint
[2021.11.21 14:06:12] [0000m.02s.753ms] [2] Diagnostic: CesConfigCheck: CesPin
[2021.11.21 14:06:12] [0000m.02s.755ms] [2] Diagnostic: CesConfigCheck: CesFromTo
[2021.11.21 14:06:12] [0000m.02s.755ms] [2] Diagnostic: CesConfigCheck: CesPhysicalNet
[2021.11.21 14:06:12] [0000m.02s.757ms] [2] Diagnostic: CesConfigCheck: CesPinPair
[2021.11.21 14:06:12] [0000m.02s.757ms] [2] Diagnostic: CesConfigCheck: CesElectricalNet
[2021.11.21 14:06:12] [0000m.02s.758ms] [2] Diagnostic: CesConfigCheck: CesDiffPair
[2021.11.21 14:06:12] [0000m.02s.758ms] [2] Diagnostic: CesConfigCheck: CesComponent
[2021.11.21 14:06:12] [0000m.02s.758ms] [2] Diagnostic: CesConfigCheck: CesPartPin
[2021.11.21 14:06:12] [0000m.02s.758ms] [2] Diagnostic: CesConfigCheck: CesPartPinPair
[2021.11.21 14:06:12] [0000m.02s.758ms] [2] Diagnostic: CesConfigCheck: CesPart
[2021.11.21 14:06:12] [0000m.02s.758ms] [2] Diagnostic: CesConfigCheck: CesDesign
[2021.11.21 14:06:12] [0000m.02s.759ms] [2] Diagnostic: CesConfigCheck: CesLayerClearRule
[2021.11.21 14:06:12] [0000m.02s.759ms] [2] Diagnostic: CesConfigCheck: CesSchemeClearRule
[2021.11.21 14:06:12] [0000m.02s.759ms] [2] Diagnostic: CesConfigCheck: CesViaAssign
[2021.11.21 14:06:12] [0000m.02s.759ms] [2] Diagnostic: CesConfigCheck: CesLayerRule
[2021.11.21 14:06:12] [0000m.02s.759ms] [2] Diagnostic: CesConfigCheck: CesSchemeNetClassRule
[2021.11.21 14:06:12] [0000m.02s.759ms] [2] Diagnostic: CesConfigCheck: CesScheme
[2021.11.21 14:06:12] [0000m.02s.759ms] [2] Diagnostic: CesConfigCheck: CesLayer
